player_name,season,team,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,field_goal_pct,three_point_pct,free_throw_pct,plus_minus,all_star,prior_all_star_selections
Monte Morris,2021-22,DEN,27.0,75,29.9,12.6,3.0,4.4,0.7,0.2,1.0,0.484,0.395,0.869,3.8,0,0
Monte Morris,2022-23,WAS,28.0,62,27.4,10.3,3.4,5.3,0.7,0.2,1.0,0.48,0.382,0.831,0.1,0,0
Montrezl Harrell,2019-20,LAC,26.0,63,27.8,18.6,7.1,1.7,0.6,1.1,1.7,0.58,0.0,0.658,4.0,0,0
Montrezl Harrell,2020-21,LAL,27.0,69,22.9,13.5,6.2,1.1,0.7,0.7,1.1,0.622,0.0,0.707,0.6,0,0
Montrezl Harrell,2021-22,CHA,28.0,71,23.1,13.1,6.1,2.0,0.4,0.6,1.0,0.645,0.235,0.716,1.2,0,0
Moritz Wagner,2019-20,WAS,23.0,45,18.6,8.7,4.9,1.2,0.6,0.4,1.5,0.545,0.313,0.821,-2.0,0,0
Moritz Wagner,2020-21,ORL,24.0,45,16.0,6.9,3.2,1.1,0.6,0.4,1.0,0.454,0.341,0.816,-3.2,0,0
Moritz Wagner,2021-22,ORL,25.0,63,15.2,9.0,3.7,1.4,0.3,0.2,0.9,0.497,0.328,0.806,-2.4,0,0
Moritz Wagner,2022-23,ORL,26.0,57,19.5,10.5,4.5,1.5,0.6,0.2,1.2,0.5,0.313,0.841,-0.5,0,0
Moritz Wagner,2023-24,ORL,27.0,80,17.7,10.9,4.3,1.2,0.5,0.3,1.2,0.601,0.33,0.814,1.2,0,0
Moses Brown,2020-21,BOS,21.0,43,21.4,8.6,8.9,0.2,0.7,1.1,1.0,0.545,0.0,0.619,-8.4,0,0
Moses Moody,2023-24,GSW,22.0,66,17.5,8.1,3.0,0.9,0.6,0.4,0.7,0.462,0.36,0.785,1.5,0,0
